transactionid,userid,date,categoryname,amount,description
1,1,2023-01-01,Housing,1000.00,Rent for Jan
2,1,2023-02-01,Housing,1000.00,Rent for Feb
3,1,2023-03-01,Housing,1000.00,Rent for Mar
4,1,2023-04-01,Housing,1000.00,Rent for Apr
5,1,2023-05-01,Housing,1000.00,Rent for May
6,1,2023-06-01,Housing,1000.00,Rent for Jun
7,1,2023-07-01,Housing,1000.00,Rent for Jul
8,1,2023-08-01,Housing,1000.00,Rent for Aug
9,1,2023-09-01,Housing,1000.00,Rent for Sep
10,1,2023-10-01,Housing,1000.00,Rent for Oct
11,1,2023-11-01,Housing,1000.00,Rent for Nov
12,1,2023-12-01,Housing,1000.00,Rent for Dec
13,1,2023-01-01,Transportation,50.00,Pass
14,1,2023-02-01,Transportation,50.00,Pass
15,1,2023-03-01,Transportation,50.00,Pass
16,1,2023-04-01,Transportation,50.00,Pass
17,1,2023-05-01,Transportation,50.00,Pass
18,1,2023-06-01,Transportation,50.00,Pass
19,1,2023-07-01,Transportation,50.00,Pass
20,1,2023-08-01,Transportation,50.00,Pass
21,1,2023-09-01,Transportation,50.00,Pass
22,1,2023-10-01,Transportation,50.00,Pass
23,1,2023-11-01,Transportation,50.00,Pass
24,1,2023-12-01,Transportation,50.00,Pass
25,1,2023-01-03,Food,45.00,Grocery shopping
26,1,2023-01-05,Healthcare,150.00,Doctor visit
27,1,2023-01-08,Debt Payments,200.00,Credit card payment
28,1,2023-01-10,Investments,500.00,Stock purchase
29,1,2023-01-12,Entertainment & Leisure,60.00,Concert tickets
30,1,2023-01-15,Personal Care,30.00,Haircut
31,1,2023-01-18,Education,100.00,Textbooks
32,1,2023-01-20,Miscellaneous,25.00,Gift for friend
33,1,2023-01-22,Food,75.00,Dining out
34,1,2023-01-24,Healthcare,20.00,Prescription medicine
35,1,2023-01-26,Debt Payments,150.00,Student loan payment
36,1,2023-01-28,Investments,300.00,Mutual fund contribution
37,1,2023-01-30,Entertainment & Leisure,40.00,Movie tickets
38,1,2023-02-02,Personal Care,50.00,New clothes
39,1,2023-02-04,Education,200.00,Online course
40,1,2023-02-06,Miscellaneous,15.00,Charity donation
41,1,2023-02-08,Food,60.00,Grocery shopping
42,1,2023-02-10,Healthcare,100.00,Dentist appointment
43,1,2023-02-12,Debt Payments,175.00,Car loan payment
44,1,2023-02-14,Investments,250.00,Savings account deposit
